,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Sulangan,11.14,84.83,75,58,9.37
1,Aksarka,66.56,37.49,73,1,13.35
2,Rikitea,-23.12,70.07,59,37,9.57
3,Shakawe,-18.36,64.49,21,0,4.21
4,Yellowknife,62.45,42.37,70,75,11.41
5,Buturlinovka,50.83,69.71,73,42,6.33
6,Hilo,19.71,71.92,68,20,5.82
7,Vaini,15.34,81.23,85,81,3.04
8,Mataura,-46.19,47.21,67,100,13.65
9,Nouadhibou,20.93,71.6,60,0,23.04
10,Angoche,-16.23,73.31,87,4,4.07
11,Kapaa,22.08,75.92,74,75,9.17
12,Hobart,-42.88,42.62,75,0,10.29
13,Ushuaia,-54.81,41.99,60,0,6.93
14,Hasaki,35.73,65.75,100,75,5.82
15,Torbay,47.66,57.29,87,90,10.29
16,Bethel,60.79,42.21,93,90,11.41
17,Fortuna,38.18,78.13,50,0,8.05
18,Petropavlovsk-Kamchatskiy,53.05,42.8,100,90,6.71
19,Amga,60.89,47.03,54,0,3.06
20,Lagoa,37.14,71.4,33,0,9.17
21,Atuona,-9.8,81.95,76,84,18.16
22,Calama,-22.46,71.82,5,0,17.22
23,Alofi,-19.06,75.2,94,40,4.7
24,Dikson,73.51,26.33,87,0,3.13
25,Kailua,21.39,77.58,74,75,5.82
26,Vardo,39.62,76.68,47,20,8.05
27,Kilindoni,-7.91,81.95,75,16,17.13
28,Portland,45.52,56.26,54,75,8.05
29,Port Alfred,-33.59,69.01,26,0,5.99
30,Kodiak,39.95,85.14,15,1,6.93
31,Leninskoye,54.82,60.8,63,0,11.18
32,Busselton,-33.64,46.62,70,31,20.65
33,Avarua,-21.21,77.0,94,25,5.82
34,Cabedelo,-6.97,84.2,62,40,13.87
35,Muros,42.77,59.5,62,75,9.17
36,Malinovoye Ozero,51.68,61.25,64,86,13.67
37,Klaksvik,62.23,44.6,93,81,14.99
38,Teguldet,57.31,56.03,92,100,4.9
39,Hofn,64.25,53.6,27,0,21.92
40,Swakopmund,-22.68,63.21,43,0,3.36
41,Cidreira,-30.17,73.49,57,90,12.06
42,Chuy,-33.69,63.05,68,93,12.24
43,Lakes Entrance,-37.88,33.46,96,1,2.59
44,Bredasdorp,-34.53,64.78,52,16,18.34
45,Japura,-0.42,74.21,97,100,1.54
46,Pevek,69.7,35.33,75,99,4.14
47,Ilulissat,69.22,50.0,46,75,11.41
48,Punta Arenas,-53.16,41.0,86,75,6.93
49,Madison,43.07,79.0,53,1,8.05
50,Castro,-42.48,51.8,93,75,12.75
51,New Norfolk,-42.78,42.62,75,0,10.29
52,Bluff,-23.58,61.07,82,100,16.44
53,Zeliezovce,48.05,77.81,50,42,4.0
54,Nago,45.88,76.37,41,20,6.93
55,Ribeira Grande,38.52,69.8,73,40,17.22
56,Kaitangata,-46.28,46.99,67,97,32.99
57,Baruun-Urt,46.68,50.45,85,100,20.96
58,Provideniya,64.42,44.33,76,0,2.68
59,Tasiilaq,65.61,50.0,34,75,10.29
60,Saint-Augustin,44.83,63.32,55,75,19.46
61,Victoria,5.28,78.26,94,75,1.12
62,Borovskoy,53.8,55.31,78,100,11.25
63,Springdale,36.19,74.71,83,90,8.05
64,Margate,-43.03,42.51,81,0,9.17
65,Arraial do Cabo,-22.97,76.08,61,0,18.34
66,Bandarbeyla,9.49,87.17,54,99,14.36
67,Butaritari,3.07,82.31,75,100,4.97
68,Barrow,-38.31,59.09,33,0,15.12
69,Albany,42.65,76.91,31,40,8.05
70,Kavieng,-2.57,84.47,75,98,10.22
71,Nzerekore,7.76,73.85,95,100,2.95
72,Saskylakh,71.97,54.23,34,29,9.66
73,Nizhniy Tsasuchey,50.52,54.59,89,100,8.63
74,Cape Town,-33.93,59.38,72,75,17.22
75,Mar del Plata,-46.43,52.97,44,99,25.99
76,Nikolskoye,59.7,78.57,57,20,4.47
77,Tangping,33.69,57.83,91,75,3.62
78,Sweetwater,32.47,79.11,57,1,10.29
79,Villarrobledo,39.27,71.91,17,0,3.65
80,Longyearbyen,78.22,35.6,80,75,20.8
81,Hithadhoo,-0.6,83.57,76,97,8.57
82,Taoudenni,22.68,107.33,6,0,6.71
83,Sept-Iles,50.2,49.77,87,90,4.7
84,Lebu,8.96,66.2,63,75,6.93
85,Upernavik,72.79,34.61,79,33,14.97
86,Bosaso,11.28,87.89,75,100,10.02
87,Saint-Philippe,45.36,76.32,41,1,11.41
88,Bela Cruz,-3.05,85.91,64,8,7.31
89,Codrington,-28.95,56.16,93,90,3.33
90,Caravelas,-17.73,72.77,86,100,4.92
91,Ketchikan,55.34,53.6,81,90,8.05
92,Manhattan,39.18,83.91,54,1,4.7
93,Rundu,-17.91,73.4,20,0,2.24
94,Shrewsbury,52.71,54.05,100,90,8.05
95,Liverpool,53.41,53.85,87,90,13.87
96,Hobyo,5.35,83.57,61,18,21.92
97,Kahului,20.89,74.07,69,20,10.6
98,Port Hawkesbury,45.62,58.69,81,1,10.29
99,Fairbanks,64.84,56.43,67,1,2.24
100,Thompson,55.74,53.6,93,90,9.17
101,Qaanaaq,77.48,31.19,84,84,3.56
102,Esperance,10.24,88.95,58,20,17.22
103,Hermanus,-34.42,61.63,73,31,13.0
104,Naze,5.43,86.0,70,75,11.41
105,Puerto Ayora,-0.74,77.43,74,75,19.46
106,Talnakh,69.49,37.4,93,0,20.13
107,Columbus,32.46,88.21,70,20,9.17
108,Pisco,-13.71,69.96,30,40,8.05
109,Henties Bay,-22.12,57.99,88,0,10.74
110,Souillac,45.6,61.27,55,57,20.8
111,Cherskiy,68.75,44.51,46,87,8.5
112,Diffa,13.32,96.53,35,77,11.39
113,Faanui,-16.48,82.49,75,9,13.31
114,Jamestown,-33.21,48.65,74,0,8.43
115,Port Blair,11.67,85.73,74,100,15.59
116,Shache,38.42,79.0,66,100,9.35
117,Popondetta,-8.77,67.55,79,80,2.13
118,Kiunga,-6.12,74.03,98,100,0.92
119,Luderitz,-26.65,64.4,55,0,16.11
120,Shubarshi,48.59,63.23,49,0,11.65
121,Nome,30.04,87.75,62,75,12.75
122,Arluno,45.51,74.97,44,75,3.36
123,Deputatskiy,69.3,44.33,46,33,3.38
124,Cardston,49.2,55.4,37,1,19.44
125,Viesca,25.34,90.45,35,20,8.05
126,Mount Gambier,-37.83,46.4,93,0,10.29
127,Greenville,34.85,70.65,100,90,3.36
128,Severo-Yeniseyskiy,60.37,57.47,54,98,3.98
129,Khatanga,71.98,58.55,55,64,6.64
130,Lorengau,-2.02,79.61,83,100,5.73
131,Bilma,18.69,99.77,14,54,9.48
132,Porangatu,-13.44,82.31,46,100,5.79
133,Xiaoweizhai,26.23,70.43,98,100,5.44
134,Vila Franca do Campo,37.72,64.4,68,75,13.87
135,Tiksi,71.64,33.89,77,5,3.53
136,Saint George,39.45,84.94,31,20,11.41
137,Porto Novo,-23.68,73.4,53,0,3.36
138,Conde,-11.81,76.19,90,19,7.07
139,Kikwit,-5.04,76.19,26,35,1.77
140,Saint-Leu,-21.15,68.13,78,0,6.93
141,Sao Filipe,14.9,73.85,84,1,21.3
142,Avera,33.19,83.03,83,90,12.75
143,Hami,42.84,79.97,28,93,12.53
144,Honningsvag,70.98,47.21,81,0,5.82
145,Kirovskiy,45.09,53.51,95,0,3.56
146,Skibotn,69.39,56.21,67,40,11.41
147,Manjeshwar,12.72,84.2,79,40,4.7
148,Clyde River,70.47,35.6,93,75,6.93
149,Manaure,11.78,87.8,70,90,8.05
150,Sitka,37.17,78.01,59,0,3.0
151,Bilibino,68.06,38.21,78,95,2.93
152,Leningradskiy,69.38,34.61,91,95,2.59
153,Brookhaven,40.78,74.26,73,1,5.82
154,Poum,41.28,78.8,41,20,3.36
155,Sawakin,19.1,88.25,33,0,5.32
156,Cabo San Lucas,22.89,78.8,57,5,9.17
157,Freeport,26.54,87.8,62,75,8.05
158,Tocopilla,-22.09,59.63,96,100,10.09
159,Alyangula,-13.85,73.4,78,90,6.93
160,Broome,52.47,60.31,82,40,11.41
161,Adrar,27.87,107.6,7,0,20.8
162,Buin,-33.73,60.15,47,0,4.7
